Date_Time,Location,Suburb,Date_updated,Health_advice,Health_Advice_Short,Health_Advice_Severity,Marker_Color,lon,lat
"Friday 21/01/2022
			11:00am to 11:30am","Australind Shopping Centre, Cnr Old Coast and Paris Road",Australind,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7151855,-33.2799877
"Friday 21/01/2022
			5:10 am to 5:25am","Puma Settlers Roadhouse, 3680 Old Coast Road",Myalup,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.733451,-33.0340641
"Thursday 20/01/2022
			6:00pm to 7:00pm","Coles High Wycombe, Village shopping centre 530 Kalamunda Road",High Wycombe,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.0051269,-31.9352283
"Thursday 20/01/2022
			4:45pm to 5:15pm","Bunnings Australind, 58 The Promenade",Australind,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7445757,-33.2809771
"Thursday 20/01/2022
			3:00pm to 4:00pm","Officeworks Mandurah, 6 Magenta Terrace",Mandurah,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7396753,-32.5085783
"Thursday 20/01/2022
			3:00pm to 3:15pm","Terry White Mirrabooka, 43 Yirrigan Drive",Mirrabooka,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8602291,-31.8709568
"Wednesday 19/01/2022
			4:00 pm to 6:00pm","Australind Shopping Centre, Cnr Old Coast and Paris Road",Australind,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7151855,-33.2799877
"Wednesday 19/01/2022
			11:00 am to 11:30am","Auto One Midland, Shop 1 3/156 Great Eastern Hwy",Midvale,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.022206,-31.8929185
"Wednesday 18/01/2022
			8:45 am to 9:00am","Willagee IGA, 70 Archibald St",Willagee,2022-01-26,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8070728,-32.0527957
"Sunday 23/01/2022
			8:45am to 10:30am","Riverview Church (Mezzanine Floor),
			1 Thorogood Street",Burswood,2022-01-24,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8935335,-31.9665925
"Friday 21/01/2022
			8:15am to 8:45am","Cockburn ARC pool (50 metre outdoor pool and warm water pool) and changeroom area,
			Cockburn Central, 31 Veterans Parade",Cockburn,2022-01-24,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.850766,-32.1255031
"Thursday 20/01/2022
			12:00pm to 2:00pm","Cockburn ARC gym and changeroom area,
			Cockburn Central, 31 Veterans Parade",Cockburn,2022-01-24,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.850766,-32.1255031
"Wednesday 19/01/2022
			12:00pm to 1:00pm","Cockburn ARC gym and changeroom area,
			Cockburn Central, 31 Veterans Parade",Cockburn,2022-01-24,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.850766,-32.1255031
"Friday 21/01/2022
			6:00pm to 11:30pm","Sporting Globe Bar and Grill,
			330 Pinjarra Road",Mandurah,2022-01-24,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7416065,-32.5360668
"Thursday 20/01/2022
			5:45pm to 8:00pm","Jo's Curry House,
			18 Wittenoom Street",Bunbury,2022-01-24,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.6352746,-33.3213036
"Sunday 23/01/2022
			8:45am to 10:30am","Riverview Church (non-Mezzanine areas of the church),
			1 Thorogood Street",Burswood,2022-01-24,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8935335,-31.9665925
"Thursday 20/01/2022
			6:30pm to 7:00pm","Chicken Treat,
			Shop 3 530 Kalamunda Rd",High Wycombe,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,116.0047867,-31.9354738
"Tuesday 18/01/2022
			3:00pm to 4:30pm","Coogee Beach Cafe,
			4 Powell Road",Coogee,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7642999,-32.1114892
Tuesday 18/01/2022 at 12:30pm to 1:30pm,"Sushi Hub,
			96 William St",Perth,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8575016,-31.9528421
Friday 21/01/2022 at 12:30pm to 1:30pm,"Ivy and Jack restaurant - Holiday Inn Hotel,
			788 Hay Street",Perth,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8559727,-31.9531235
Thursday 20/01/2022 at 5:25pm to 6:40pm,"Brew U (Brew University),
			Unit 3/176 Bannister Road",Canning Vale,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9089279,-32.0597114
Tuesday 18/01/2022 at 11:15am to 11:35am,"Vodafone (Carousel),
			1382 Albany Highway",Cannington,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.9387971,-32.0179492
Tuesday 18/01/2022 at 11:55am to 1:00pm,"Miss Maud (Carousel) - the one close to Woolworths,
			1382 Albany Highway",Cannington,2022-01-23,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.938873,-32.020502
Saturday 15/01/2022 at 5:00pm to 6:45pm,"Swan Yacht Club,
			75 Riverside Rd",East Fremantle,2022-01-22,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.7628407,-32.0270805
Monday 17/01/2022 at 4:00am to 4:30am,"7-Eleven,
			1256 Armadale Rd (Haynes Shopping Centre)",Armadale,2022-01-22,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9843957,-32.1475693
Monday 17/01/2022 at 2:45pm to 4:00pm,"Haynes Shopping Centre,
			Cnr Armadale Rd and Eighth Rd",Armadale,2022-01-22,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9865666,-32.1476773
Monday 17/01/2022 at 3:00pm to 3:15pm,"Haynes Good Newspower (Haynes Shopping Centre)
			Armadale Rd",Armadale,2022-01-22,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9863458,-32.1478588
Monday 17/01/2022 at 3:15pm to 3:30pm,"Coles Haynes (Haynes Shopping Centre),
			Armadale Rd",Armadale,2022-01-22,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9865417,-32.1478233
Monday 17/01/2022 at 3:15pm to 3:45pm,"Subway (Haynes Shopping Centre),
			Armadale Rd",Armadale,2022-01-22,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9860708,-32.1476353
Monday 17/01/2022 at 4:30pm to 6:00pm,"Body Transformation Studio,
			2/82 Norma Road",Booragoon,2022-01-21,"Get tested immediately and isolate for 14 days from the date of last exposure, unless directly advised otherwise by the Department of Health. If you have not been contacted by the Department of Health phone 13 COVID (13 26843).",Test and Iso for 14d,4,black,115.8226507,-32.0410466
Sunday 16/01/2022 at 2:00pm to 2:20pm,"IGA Willagee
			70 Archibald St",Willagee,2022-01-21,"Get tested immediately and isolate for 14 days from the date of last exposure, unless directly advised otherwise by the Department of Health. If you have not been contacted by the Department of Health phone 13 COVID (13 26843).",Test and Iso for 14d,4,black,115.8070728,-32.0527957
"Tuesday 18/01/2022 at 1:00pm to 7:00pm
			Monday 17/01/2022 at 01:00pm to 7:00pm","IGA Willagee,
			70 Archibald St",Willagee,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8070728,-32.0527957
Sunday 16/01/2022 at 1:30pm to 3:15pm,"Bootleg Brewery,
			37 Wildberry Rd",Wilyabrup,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.0551139,-33.7567167
Sunday 16/01/2022 at 3:30pm to 5:00pm,"The Grove Distillery and Brewery,
			491 Metricup Road",Wilyabrup,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.0885084,-33.782418
Sunday 16/01/2022 at 3:00pm to 3:30pm,"The Margaret River Chocolate Company,
			415 Harmans Mill Rd and Tom Cullity Drive",Metricup,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.077501,-33.7998238
Sunday 16/01/2022 at 5:30pm to 6:30pm,"Wild Hop Brewing Company,
			1301 Wildwood Road",Yallingup,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.0638318,-33.6951474
Sunday 16/01/2022 at 11:30am to 12:30pm,"Cape Lavender Teahouse
			2 Canal Rocks Rd",Yallingup,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.0306355,-33.6695022
Tuesday 18/01/2022 at 12:40pm to 1:00pm,"Simmo's Ice Creamery
			161 Commonage Rd",Quindalup,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.113,-33.6400222
Wednesday 19/01/2022 at 10:50am to 11:10am,"Optimal Pharmacy Plus Waikiki
			Shop 9 Stargate Shopping Centre, 78 Charthouse Rd",Waikiki,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.74537,-32.3129839
Wednesday 19/01/2022 at 11:00am to 12:15pm,"Terry White Chemmart Waikiki
			Waikiki Village Shopping Centre, 19 Read St",Waikiki,2022-01-21,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.753824,-32.3138981
Wednesday 19/01/2022 at 5:00pm to 8:00pm,"Port Coogee Marina (Beach and BBQ area),
			Ngarkal Beach",North Coogee,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7608489,-32.1012077
Tuesday 18/01/2022 at 3:30pm to 4:40pm,"Bunnings O'Connor,
			Cnr South Street and, Yarrick St",O'Connor,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7970862,-32.063455
Tuesday 18/01/2022 at 4:40pm to 5:10pm,"Woolworths Coolbellup,
			Coolbellup Village Shopping Centre, 1 Waverley Rd",Coolbellup,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8076128,-32.0809495
Monday 17/01/2022 at 12:15pm to 1:00pm,"ANZ Bank,
			Kardinya Park Shopping Centre, 28/15 South St",Kardinya,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8162279,-32.0679797
Monday 17/01/2022 at 1:00pm to 1:20pm,"Coles Kardinya,
			North Lake Road and South Street",Kardinya,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8157236,-32.06737
Monday 17/01/2022 at 1:20pm to 1:40pm,"Commonwealth Bank Spearwood Branch,
			Shops 20 and 21, Stargate Shopping Centre, 432 Rockingham Rd",Spearwood,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7830592,-32.1148951
Monday 17/01/2022 at 1:30pm to 2:00pm,"Spudshed Spearwood,
			Stargate Shopping Centre, 432 Rockingham Rd",Spearwood,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7830348,-32.1156475
Monday 17/01/2022 at 12:30pm to 1:00pm,"Yallingup General Store and Cafe,
			16 Yallingup Beach Rd",Yallingup,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.0320717,-33.6455464
Monday 17/01/2022 at 12:50pm to 1:10pm,"Yallingup Gugelhupf,
			18 Yallingup Beach Rd",Yallingup,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.0317535,-33.6456413
Monday 17/01/2022 at 1:20pm to 1:40pm,"Dunsborough Bakery
			243 Naturaliste Terrace",Dunsborough,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1065027,-33.6153988
"Monday 17/01/2022 at 1:30pm to 2:00pm
			Tuesday 18/01/2022 at 12:45pm to 1:15pm","Coles (Dunsborough Centrepoint),
			Dunn Bay Rd and Cape Naturaliste Rd",Dunsborough,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1052192,-33.6155873
Monday 17/01/2022 at 5:30pm to 6:00pm,"BP Cowaramup
			Cnr Bussell Hwy and Roy Earl Dr",Cowaramup,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.1004448,-33.8551933
Tuesday 18/01/2022 at 7:50pm to 8:10pm,"Shell Coles Express (Bunbury Gateway),
			12 Claughton Way",Glen Iris,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.6852934,-33.3347099
Wednesday 19/01/2022 at 12:00pm to 1:00pm,"Woolworths Waikiki
			Waikiki Village Shopping Centre, 7 Read St",Waikiki,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7530229,-32.313777
Wednesday 19/01/2022 at 3:50pm to 4:20pm,"Jesters Waikiki,
			Shop 7, Village Shopping Centre, Read Street",Waikiki,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7528852,-32.3136884
"Saturday 15/01/2022 at 7:30am to 1:30pm
			Sunday 16/01/2022 at 7:30am to 8:00pm","IGA Willagee,
			70 Archibald St",Willagee,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8070728,-32.0527957
"Saturday 15/01/2022 at 9:30am to 10:30am
			Sunday 16/01/2022 at 9:30am to 10:00am","Willagee Liquor Store,
			72 Archibald Street",Willagee,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8066528,-32.0529627
Tuesday 18/01/2022 at 2:00pm to 3:00pm,"BP Kardinya,
			88 Gilbertson Road",Kardinya,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.819923,-32.068956
Tuesday 18/01/2022 at 10:30am to 11:00am,"Shell Coles Express Armadale,
			Corner of South Western Highway and Dickens Place",Armadale,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,116.0146636,-32.168888
"Monday 17/01/2022 at 7:00am to 7:45am
			Tuesday 18/01/2022 at 7:00am to 7:30am","Marmion St Fresh & Gourmet,
			344 Marmion Street",Melville,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7999067,-32.0433391
Sunday 16/01/2022 at 6:00pm to 6:20pm,"Puma Munster,
			512 Rockingham Road",Munster,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7841195,-32.1225649
Saturday 15/01/2022 at 11:30am to 12:00pm,"BWS Spearwood,
			333 Rockingham Road",Spearwood,2022-01-21,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.7822935,-32.1048969
"Tuesday 18/01/2022 at 8:00am to
			Wednesday 19/01/2022 12:00pm","Wattle Grove Motel
			610 Welshpool Rd East",Wattle Grove,2022-01-20,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9894104,-32.0055351
Tuesday 18/01/2022 at 3:45pm to 4:30pm,"Subway Merredin
			80 Barrack Street",Merredin,2022-01-20,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,118.2780828,-31.4818687
Tuesday 18/01/2022 at 11:30am to 12:30pm,"BP Truckstop Balladonia
			Eyre Highway",Balladonia,2022-01-20,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,123.6170029,-32.352304
Tuesday 18/01/2022 at 8:15am to 11:00am,"BGC Fibre Warehouse and Distribution
			13 Magnet Road",Canning Vale,2022-01-20,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.923116,-32.0586546
Monday 17/01/2022 at 10:15am to 11:00am,"Guzman y Gomez Belmont
			Belmont Forum Shopping Centre, 227 Belmont Ave",Cloverdale,2022-01-20,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9345029,-31.9664454
Monday 17/01/2022 at 9:45am to 10:45am,"Big W Belmont
			Belmont Forum Shopping Centre, 227 Belmont Ave",Cloverdale,2022-01-20,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.9364943,-31.9647723
Monday 17/01/2022 at 4:15pm to 5:45pm,"Sagitta CrossFit Fitness
			Unit 7/5 Milford St, East Victoria Park",East Victoria Park,2022-01-19,"Get tested immediately and isolate for 14 days from the date of last exposure, unless directly advised otherwise by the Department of Health. If you have not been contacted by the Department of Health phone 13 COVID (13 26843).",Test and Iso for 14d,4,black,115.9150975,-31.9908592
Sunday 16/01/2022 at 10:45am to 11:30am,"ToastFace Grillah,
			Wolf Lane, Shop 7, 329 Murray Street",Perth,2022-01-18,"Get tested immediately and isolate until you receive a negative result, unless directly advised otherwise by the Department of Health.",Test and Iso until negative,3,red,115.8556766,-31.9523481
"Saturday 15/01/2022 12:15pm to 12:45pm
			Sunday 16/01/2022 at 4:15pm to 4:45pm","Apple Perth City,
			790 Hay Street",Perth,2022-01-18,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.855729,-31.9528892
"Saturday 15/01/2022 at 8:00am to 9:00am and 12:00pm to 1:00pm
			 

			Sunday 16/01/2022 at 8:00am to 9:00am and 4:00pm to 5:00pm","CPP Carpark (His Majesty's),
			377 Murray Street",Perth,2022-01-18,"Monitor for symptoms unless directly advised otherwise by the Department of Health. If symptoms develop, get tested and isolate.",Monitor for symptoms,1,blue,115.8546027,-31.9515891
